ID;CSV_ID;ONLINE_CN;NAME;CATEGORIE;POSTAL_ADDRESS;POSTAL_ZIPCODE;POSTAL_CITY;VISIT_ADDRESS;VISIT_ZIPCODE;VISIT_CITY;TELEPHONE_GENERAL;TELEPHONE_MANAGEMENT;TELEPHONE_SALES;FAX;EMAIL;URL;PERSOONSNUMMER;MANAGER_PREFIX;MANAGER_FIRSTNAME;MANAGER_INFIX;MANAGER_LASTNAME;PR_MANAGER_PREFIX;PR_MANAGER_FIRSTNAME;PR_MANAGER_INFIX;PR_MANAGER_LASTNAME;TECHNICIAN_PREFIX;TECHNICIAN_FIRSTNAME;TECHNICIAN_INFIX;TECHNICIAN_LASTNAME;SALESMANAGER_PREFIX;SALESMANAGER_FIRSTNAME;SALESMANAGER_INFIX;SALESMANAGER_LASTNAME;NUMBER_ROOMS;CHAIRS_ROOM_1;CHAIRS_ROOM_2;CHAIRS_ROOM_3;CHAIRS_TOTAL;PROD_HOUSE_COMPANY
15090;449;;Het Muziektheater Amsterdam;230;Postbus 16822;1001 RH;AMSTERDAM;Waterlooplein 22;1011 PG;AMSTERDAM;020-5518911;;020-6255455;020-5518068;info@het-muziektheater.nl;www.hetmuziektheater.nl;6643;Mevrouw;Marion;;Cornelissen;;;;;De heer;Frans;;Huneker;De heer;Mattijn;;Hallers;1;1600;0;0;1600;
15095;585;;Tropentheater;229;Postbus 95001;1090 HA;AMSTERDAM;Linnaeusstraat 2 / Mauritskade 63;1092 AD;AMSTERDAM;020-5688451;;020 - 5688 500;020-5688384;tropentheater@kit.nl;www.tropentheater.nl;10968;De heer;Rien;;Vrijenhoek;;;;;De heer;Frits;van den;Akker;Mevrouw;Deborah;;Klumperbeek;2;450;185;0;635;
15096;596;;Koninklijk Theater Carr̩;230;Postbus 20202;1000 HE;AMSTERDAM;Amstel 115 -125;1018 EM;AMSTERDAM;020-5249494;;0900-2525255;020-5249442;info@theatercarre.nl;www.theatercarre.nl;613;De heer;Hein;;Jens;Mevrouw;Priscilla;;Wattimena;De heer;Hans;;Petter;Mevrouw;Carry;van der;Sleen;2;1997;100;0;2097;
15196;1283;;Theater Bellevue;230;;;;Leidsekade 90;1017 PN;AMSTERDAM;020-5305300;;020-5305301/02;020-5305303/020-6201;info@theaterbellevue.nl;www.theaterbellevue.nl;412;Mevrouw;Jeannette;;Smit;Mevrouw;Jessica;;Tepe;De heer;Hans;;Bruijn;Mevrouw;Mechteline;van;Es;2;248;105;0;353;
15205;3242;;DeLaMar Theater;229;Leidsekade 91;1017PN;AMSTERDAM;Marnixstraat 402;1017PL;AMSTERDAM;020-5552627;;0900 - 3352627;020-5552699;info@delamar.nl;www.delamar.nl;10833;De heer;Fons;;Bruins;Mevrouw;Cynthia;;Schell;De heer;Marco;;Hartendorf;Mevrouw;Saskia;van der;Linde;2;943;601;0;1544;

Vraagsteller,kdw
Tijdstip, 20110514T15:20:53

Vraag,VSCD
Omschrijving,VSCD

search,amsterdam

Database
Connectionname,fqt@XE
Schemaname,fqt
Servicename,nosu:1521:XE
Description,flexible query tool
